0:0:0:0:0:0:0:1 - - [21/May/2018:11:44:57 +0900] "GET /miamiburger/images/board.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:11:44:57 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:11:48:49 +0900] "GET /miamiburger/UserUpdateCompleteAction.action HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [21/May/2018:11:48:49 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:11:48:49 +0900] "GET /miamiburger/images/board.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:11:48:49 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:11:50:54 +0900] "GET /miamiburger/UserUpdateCompleteAction.action HTTP/1.1" 200 3931
0:0:0:0:0:0:0:1 - - [21/May/2018:11:50:54 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:11:50:54 +0900] "GET /miamiburger/images/board.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:11:50:54 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:11:52:21 +0900] "GET /miamiburger/UserUpdateCompleteAction.action HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [21/May/2018:11:52:21 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:11:52:21 +0900] "GET /miamiburger/images/board.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:11:52:21 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:13:46:05 +0900] "GET /miamiburger/ HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [21/May/2018:13:46:11 +0900] "GET /miamiburger/StartAction.action HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [21/May/2018:13:46:11 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 200 3867
