127.0.0.1 - - [19/May/2018:12:09:27 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:30 +0900] "GET /miamiburger/ HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:30 +0900] "GET /miamiburger/js/textanimation.js HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:30 +0900] "GET /miamiburger/css/animate.css HTTP/1.1" 200 6334
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:30 +0900] "GET /miamiburger/images/startlogo.png HTTP/1.1" 200 11109
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:31 +0900] "GET /miamiburger/images/startbg.jpg HTTP/1.1" 200 1136345
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:41 +0900] "GET /miamiburger/StartAction.action HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:41 +0900] "GET /miamiburger/css/miamiburger.css HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:41 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:41 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 200 1875
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:49 +0900] "GET /miamiburger/images/icon.JPG HTTP/1.1" 200 9802
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:53 +0900] "GET /miamiburger/LoginAction.action HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [19/May/2018:12:09:53 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [19/May/2018:12:10:05 +0900] "POST /miamiburger/GoLoginAction.action HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [19/May/2018:12:10:05 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [19/May/2018:12:10:08 +0900] "GET /miamiburger/MyPageAction.action HTTP/1.1" 200 5449
0:0:0:0:0:0:0:1 - - [19/May/2018:12:10:08 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [19/May/2018:12:10:08 +0900] "GET /miamiburger/images/board.jpg HTTP/1.1" 200 2465097
0:0:0:0:0:0:0:1 - - [19/May/2018:12:10:30 +0900] "GET /miamiburger/UserUpdateAction.action HTTP/1.1" 200 6714
0:0:0:0:0:0:0:1 - - [19/May/2018:12:10:30 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [19/May/2018:12:12:10 +0900] "GET /miamiburger/UserUpdateAction.action HTTP/1.1" 200 6714
0:0:0:0:0:0:0:1 - - [19/May/2018:12:12:10 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2018:12:12:10 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [19/May/2018:12:12:10 +0900] "GET /miamiburger/images/board.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2018:12:13:02 +0900] "GET /miamiburger/UserUpdateAction.action HTTP/1.1" 200 6737
0:0:0:0:0:0:0:1 - - [19/May/2018:12:13:02 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 304 -
